neighborhood,tracts,population,svi_popweighted,age65,no_vehicle_hh,pov150,uninsured
Allston,8,21762,0.493,1006,3981,5364,573
Back Bay,6,16948,0.373,2463,4764,2549,200
Beacon Hill,4,8204,0.083,1365,2901,771,77
Brighton,14,48999,0.611,5864,6981,11404,1726
Charlestown,6,19832,0.435,2540,1910,2682,202
Chinatown,2,5015,0.902,480,1790,1866,100
Dorchester,29,124460,0.835,15850,12283,37990,5460
Downtown,5,12368,0.604,2409,2746,2422,91
East Boston,13,45357,0.807,3531,5447,10777,3176
Fenway,10,32316,0.665,1677,7150,7899,731
Harbor Islands,1,356,0.0,15,0,285,45
Hyde Park,8,37963,0.766,6434,1978,6401,1604
Jamaica Plain,16,42634,0.485,5721,4747,8357,511
Longwood,1,4769,0.584,26,151,93,41
Mattapan,6,26345,0.89,3847,2444,7149,1009
Mission Hill,4,15168,0.822,1691,3557,6636,688
North End,4,9856,0.331,1142,3124,1414,227
Roslindale,9,30321,0.54,4266,1606,4726,806
Roxbury,18,51486,0.875,6587,9007,18960,2136
South Boston,14,36175,0.25,3284,4789,5653,631
South Boston Waterfront,5,5456,0.048,376,1533,273,33
South End,11,30576,0.666,4486,6124,8707,752
West End,3,7506,0.524,775,2381,1116,51
West Roxbury,9,32073,0.504,6201,1604,3572,812
